"Country","2017","2018","2019","2020","2021","2022"
China,60814,71523,83890,92984,115079,126313
European Union,31496,37327,30620,32143,46762,58832
Japan,23271,26971,23829,25403,37739,40519
United States of America,21800,24203,22423,21651,34399,40171
"Korea, Republic of",13008,14415,13210,13126,20336,25920
India,9219,6510,5298,5164,9997,10863
United Kingdom,3837,4845,4876,7355,9073,8833
TÅrkiye,3532,4219,3299,3196,6354,7424
Canada,2925,3228,3034,3297,5046,6474
Chinese Taipei,4771,4549,4221,4119,5956,6215
Malaysia,3110,3613,3980,4890,3407,4840
"Hong Kong, China",3597,3660,4781,5821,6616,4081
Thailand,2467,2912,2423,2026,3551,3737
Switzerland,1750,2040,2432,3307,3759,3584
Mexico,2709,3777,2521,3026,2471,3286
Brazil,2263,2658,2910,2161,3711,3178
Viet Nam,1685,1776,1685,1598,2622,-
Norway,1486,1683,1301,993,1648,1970
Indonesia,1469,1530,1269,944,1605,1669
North Macedonia,1022,1180,1459,1262,1543,1522
Singapore,1227,930,1438,1586,1310,1478
Philippines,1952,1534,203,194,347,1416
United Arab Emirates,746,782,576,723,1298,1206
"Saudi Arabia, Kingdom of",671,720,620,752,821,1022
Georgia,358,430,623,588,758,815
Kazakhstan,418,429,372,284,481,727
Australia,902,989,694,542,998,715
Bosnia and Herzegovina,103,141,149,118,367,673
Uzbekistan,163,239,455,362,649,638
Chile,342,387,343,420,723,616
Morocco,160,247,218,214,366,528
South Africa,470,417,342,282,407,475
Argentina,310,341,311,239,357,432
Zambia,951,1277,157,67,202,383
Iran,248,179,289,288,365,381
Namibia,801,1367,1582,1778,1881,381
Serbia,367,406,514,410,519,353
"Bahrain, Kingdom of",222,207,229,67,106,317
Israel,204,246,199,175,274,304
Peru,66,90,91,61,111,279
Egypt,144,235,297,190,182,245
Pakistan,186,204,119,104,165,238
Colombia,167,188,145,110,172,206
Ukraine,685,672,682,544,559,165
Tunisia,97,120,102,82,96,148
Oman,145,133,116,147,142,-
Russian Federation,1525,1846,2008,1356,1486,135
Qatar,89,96,73,48,106,128
Montenegro,1,1,1,1,11,122
New Zealand,54,70,59,50,87,116
Armenia,69,60,73,58,75,103
Nigeria,55,65,61,95,88,94
El Salvador,81,72,43,49,74,87
Iceland,63,65,61,21,67,87
Dominican Republic,10,20,22,38,104,70
Nepal,60,75,66,50,83,59
Kenya,63,70,44,53,70,57
"Kuwait, the State of",82,444,68,54,54,54
Costa Rica,52,40,46,29,46,54
Ecuador,38,35,30,24,53,52
Azerbaijan,19,19,16,16,12,52
Cambodia,15,28,40,45,74,40
Belarus,103,109,108,98,180,38
Jordan,33,35,28,31,53,38
Honduras,2,5,3,2,3,36
Myanmar,5,7,8,7,12,35
Tanzania,18,25,22,20,28,34
Sri Lanka,53,47,38,33,50,34
Guatemala,28,32,23,17,29,-
Uganda,20,22,24,28,26,-
Ethiopia,30,30,37,31,30,23
Palestine,13,20,20,42,20,-
Uruguay,11,13,12,12,19,20
Paraguay,7,4,8,7,10,18
Albania,7,6,28,22,31,15
Trinidad and Tobago,7,12,9,8,10,14
Angola,4,6,4,4,5,12
UNMIK/Kosovo,17,9,16,11,16,10
Lao People's Democratic Republic,2,5,6,3,8,8
Mozambique,478,482,56,2,6,6
Lebanese Republic,42,38,21,7,12,6
Rwanda,0,0,0,0,3,6
Cuba,16,13,11,7,6,6
Ghana,5,9,5,1,3,5
Suriname,1,1,0,2,3,5
Niger,0,0,1,9,0,4
Mauritius,1,2,2,1,4,4
Senegal,2,1,1,1,3,4
"Bolivia, Plurinational State of",2,3,4,2,2,4
Guyana,2,9,9,5,0,3
Zimbabwe,2,2,2,2,4,3
Democratic Republic of the Congo,0,2,0,17,3,3
Gabon,2,3,1,1,2,2
Cameroon,2,3,2,1,2,2
Congo,3,4,2,1,2,2
Nicaragua,1,1,1,1,1,2
Barbados,1,2,1,1,2,1
Brunei Darussalam,3,2,2,1,2,1
Tajikistan,4,6,7,7,3,1
Mongolia,0,0,1,0,4,1
Kyrgyz Republic,1,1,1,1,0,1
Botswana,1,1,0,1,1,1
"Moldova, Republic of",1,1,1,0,1,1
Panama,1,2,2,0,1,1
C?te d'Ivoire,4,2,1,1,1,1
Papua New Guinea,0,0,1,0,0,0
Mauritania,3,2,4,1,0,0
Burkina Faso,0,0,0,0,1,0
Madagascar,2,2,1,1,0,0
Eswatini,0,0,0,0,0,0
Jamaica,0,1,0,0,0,0
Togo,7,6,6,4,1,0
